URL,Title,Release Year,Genre,IMDB Rating,Age Rating,Platforms,Runtime,Production Country
https://www.justwatch.com/in/tv-show/house-of-the-dragon,House of the Dragon,2022,"Science-Fiction, Action & Adventure, Drama, Fantasy, Romance",8.3(476k),A,"Netflix, Prime Video",1h 3min,
https://www.justwatch.com/in/tv-show/the-narrow-road-to-the-deep-north,The Narrow Road to the Deep North,2025,"Romance, War & Military, Drama,Romantic Drama",7.2(1k),Not Available,Netflix,43min,
https://www.justwatch.com/in/tv-show/sapne-vs-everyone,Sapne Vs Everyone,2023,Drama,9.3(73k),Not Available,"Netflix, Prime Video",1h 9min,
https://www.justwatch.com/in/tv-show/the-penguin,The Penguin,2024,"Crime, Drama, Fantasy,Organized Crime",8.6(194k),Not Available,"Netflix, Prime Video, Hotstar",58min,
https://www.justwatch.com/in/tv-show/devil-may-cry-0,Devil May Cry,2025,"Science-Fiction, Animation, Fantasy,Action Adventure",7.5(21k),A,"Netflix, Prime Video",29min,
https://www.justwatch.com/in/tv-show/1923,1923,2022,"Drama, Western,Epic Western",8.3(82k),Not Available,"Netflix, Prime Video, Hotstar",1h 1min,
https://www.justwatch.com/in/tv-show/special-ops-lioness,Lioness,2023,"War & Military, Mystery & Thriller, Action & Adventure, Drama,Action Thriller",7.8(73k),Not Available,"Netflix, Prime Video, Hotstar",46min,
https://www.justwatch.com/in/tv-show/khakee-the-bihar-chapter,Khakee: The Bihar Chapter,2022,"Crime, Action & Adventure, Drama, Mystery & Thriller,Action Thriller",8.1(13k),Not Available,"Netflix, Prime Video",51min,
https://www.justwatch.com/in/tv-show/poker-face,Poker Face,2023,"Crime, Drama, Comedy,Mystery Thriller",7.8(55k),Not Available,"Netflix, Prime Video, Hotstar",54min,
https://www.justwatch.com/in/tv-show/suspect-the-shooting-of-jean-charles-de-menezes,Suspect: The Shooting of Jean Charles de Menezes,2025,"Drama, History, Crime",7.8(1k),Not Available,Netflix,52min,
https://www.justwatch.com/in/tv-show/the-summer-i-turned-pretty,The Summer I Turned Pretty,2022,"Drama, Romance,Romantic Drama",7.3(49k),Not Available,"Netflix, Prime Video",49min,
https://www.justwatch.com/in/tv-show/this-city-is-ours,This City Is Ours,2025,"Crime, Drama,Organized Crime",8.0(5k),Not Available,"Netflix, Prime Video",56min,
https://www.justwatch.com/in/tv-show/bad-boy-2024,Bad Boy,2024,"Drama,Young Adult Drama",7.0,A,"Netflix, Prime Video, Hotstar",39min,
https://www.justwatch.com/in/tv-show/the-rehearsal,The Rehearsal,2022,"Comedy, Documentary,Raunchy Comedy",8.5(29k),Not Available,"Netflix, Prime Video",34min,
https://www.justwatch.com/in/tv-show/khakee-the-bengal-chapter,Khakee: The Bengal Chapter,2025,"Action & Adventure, Crime, Drama,Bollywood",7.5(5k),UA,"Netflix, Prime Video",49min,
